"","CET","Max.TemperatureC","Mean.TemperatureC","Min.TemperatureC","Dew.PointC","MeanDew.PointC","Min.DewpointC","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressurehPa","Mean.Sea.Level.PressurehPa","Min.Sea.Level.PressurehPa","Max.VisibilityKm","Mean.VisibilityKm","Min.VisibilitykM","Max.Wind.SpeedKm.h","Mean.Wind.SpeedKm.h","Max.Gust.SpeedKm.h","Precipitationmm","CloudCover","Events","WindDirDegrees"
"87",1996-09-25,19,14,9,12,9,8,94,81,56,1014,1010,1008,10,9,5,11,6,NA,0,5,"Rain",197
"88",1996-09-26,19,13,8,12,10,7,100,81,59,1018,1016,1014,10,9,8,29,11,NA,0,5,"Fog",219
"89",1996-09-27,20,17,13,14,12,9,100,78,56,1021,1015,1012,10,10,6,39,23,48,0,5,"Rain",256
"90",1996-09-28,19,13,8,11,9,7,100,77,49,1027,1025,1021,10,10,10,19,14,NA,0,6,"",251
"91",1996-09-29,22,16,10,11,9,8,88,68,43,1025,1022,1019,10,10,10,35,16,NA,0,5,"",215
"92",1996-09-30,21,17,14,14,12,9,88,76,46,1019,1013,1006,10,10,10,26,16,NA,0,4,"",209
"93",1996-10-01,14,11,9,14,10,8,100,90,82,1013,1007,1002,10,8,3,24,13,NA,0,6,"Rain",283
"94",1996-10-02,16,11,7,10,8,6,100,85,63,1024,1017,1013,10,9,2,13,8,NA,0,3,"Rain",201
"95",1996-10-03,18,11,5,10,7,4,100,79,55,1028,1025,1023,10,9,4,24,10,NA,0,3,"Fog",226
"96",1996-10-04,17,13,9,11,8,2,94,75,42,1023,1020,1016,10,10,3,27,16,NA,0,5,"Rain",256
"97",1996-10-05,14,11,8,8,6,4,93,75,54,1021,1016,1013,10,10,10,26,14,NA,0,4,"Rain",311
"98",1996-10-06,15,10,6,8,6,4,93,77,55,1024,1022,1021,10,10,10,19,13,NA,0,2,"",30
"99",1996-10-07,16,10,4,7,4,3,100,74,45,1024,1022,1020,10,8,4,11,8,NA,0,0,"Fog",19
"100",1996-10-08,17,10,4,11,7,3,93,79,59,1021,1021,1020,10,9,7,19,8,NA,0,3,"",346
"101",1996-10-09,15,13,11,13,11,10,94,90,82,1022,1021,1020,10,8,2,19,8,NA,0,6,"",293
"102",1996-10-10,14,12,11,11,11,9,100,90,77,1024,1023,1022,10,6,2,14,10,NA,0,6,"",1
"103",1996-10-11,14,12,10,11,10,9,94,84,72,1024,1021,1018,10,6,2,13,5,NA,0,6,"",136
"104",1996-10-12,17,12,8,11,9,7,100,87,68,1018,1014,1010,9,3,1,16,10,NA,0,7,"",168
"105",1996-10-13,21,14,8,11,9,7,94,72,46,1010,1007,1005,8,8,8,29,13,NA,0,1,"",153
"106",1996-10-14,16,13,12,13,11,9,94,82,72,1006,1006,1005,10,10,9,21,11,NA,0,6,"Rain",150
"107",1996-10-15,17,13,11,13,11,7,94,84,55,1012,1008,1004,10,9,3,21,14,NA,0,6,"Rain",255
"108",1996-10-16,15,10,5,10,7,4,100,86,55,1012,1011,1009,10,10,7,19,10,NA,0,5,"Fog-Rain",223
"109",1996-10-17,12,9,7,8,7,6,100,88,67,1012,1009,1007,10,9,4,19,10,NA,0,5,"Fog-Rain",202
"110",1996-10-18,14,9,4,11,7,4,100,90,59,1013,1012,1010,10,7,3,29,13,NA,0,3,"Fog-Rain",199
"111",1996-10-19,16,13,10,10,9,6,94,78,55,1026,1020,1012,10,10,10,26,18,NA,0,3,"",266
"112",1996-10-20,15,12,9,12,10,8,94,85,72,1026,1024,1020,10,9,5,23,14,NA,0,6,"Rain",219
"113",1996-10-21,19,14,11,15,12,9,100,78,52,1025,1021,1018,10,10,7,29,18,NA,0,6,"",308
"114",1996-10-22,18,12,6,10,8,5,100,82,55,1026,1025,1024,10,8,5,10,6,NA,0,3,"Fog",105
"115",1996-10-23,19,13,7,8,7,5,93,74,40,1023,1021,1020,9,8,8,14,10,NA,0,3,"",99
"116",1996-10-24,19,12,6,12,8,5,93,80,56,1020,1019,1017,9,7,5,11,6,NA,0,6,"",138
"117",1996-10-25,18,14,10,13,11,9,100,89,72,1023,1019,1017,10,8,6,19,10,NA,0,4,"Rain",207
"118",1996-10-26,15,11,8,11,8,7,94,84,63,1025,1024,1023,10,10,7,21,14,NA,0,5,"Rain",223
"119",1996-10-27,16,12,8,12,9,7,100,85,68,1025,1021,1017,10,7,1,34,14,NA,0,6,"Fog-Rain",209
"120",1996-10-28,16,13,11,13,11,8,94,82,63,1017,1010,1005,10,10,7,42,26,61,0,5,"",221
"121",1996-10-29,13,9,5,10,7,3,88,77,62,1024,1012,1003,10,10,7,50,34,71,0,4,"Rain",281
"122",1996-10-30,12,8,5,6,4,3,93,78,58,1030,1028,1025,10,10,10,14,10,NA,0,6,"",259
"123",1996-10-31,13,7,2,11,5,1,100,88,66,1029,1024,1019,10,9,7,35,14,NA,0,6,"Rain",208
"124",1996-11-01,15,13,12,12,11,10,94,86,72,1030,1026,1019,10,10,10,27,21,NA,0,6,"Rain",263
"125",1996-11-02,15,13,12,12,11,10,94,84,72,1030,1029,1028,10,10,10,23,13,NA,0,6,"",232
"126",1996-11-03,14,13,12,11,11,10,94,85,82,1028,1024,1020,10,10,8,29,19,NA,0,7,"",226
"127",1996-11-04,14,13,12,11,11,9,94,85,77,1020,1011,1004,10,9,6,40,29,55,0,6,"Rain",213
"128",1996-11-05,13,9,6,10,6,2,94,77,51,1021,1014,1005,10,10,10,34,23,48,0,3,"Rain",251
"129",1996-11-06,15,10,6,14,9,3,94,87,77,1020,1015,1012,10,9,5,42,27,64,0,6,"Rain",227
"130",1996-11-07,15,12,8,10,8,5,94,78,55,1020,1014,1010,10,10,8,39,23,58,0,4,"Rain",249
"131",1996-11-08,13,9,5,7,5,4,93,79,54,1028,1025,1021,10,10,10,26,18,NA,0,3,"",245
"132",1996-11-09,10,7,4,7,5,3,100,91,82,1030,1027,1023,10,9,5,19,10,NA,0,4,"Fog",198
"133",1996-11-10,9,7,6,8,6,5,100,92,87,1023,1012,1005,10,9,6,24,13,NA,0,6,"Rain",198
"134",1996-11-11,11,9,7,9,8,6,100,93,82,1004,995,991,10,7,4,16,10,NA,0,6,"Rain",95
"135",1996-11-12,9,7,6,9,7,5,100,95,87,1004,998,994,10,6,3,13,6,NA,0,6,"Fog-Rain",33
"136",1996-11-13,10,8,5,7,5,2,93,82,62,1019,1011,1004,10,9,5,29,14,40,0,5,"Rain",4
"137",1996-11-14,8,4,1,3,2,0,93,83,66,1022,1021,1019,10,10,10,21,10,NA,0,2,"",36
"138",1996-11-15,5,2,0,2,1,-1,93,81,70,1023,1021,1020,10,9,6,23,16,NA,0,6,"",54
"139",1996-11-16,6,3,1,3,2,-1,93,84,76,1024,1022,1020,10,7,4,13,10,NA,0,7,"",53
"140",1996-11-17,6,3,2,2,1,0,93,83,70,1019,1012,1006,10,8,6,13,5,NA,0,6,"",198
"141",1996-11-18,7,4,1,5,3,-1,100,86,71,1007,1004,1003,10,7,3,37,16,55,0,6,"Rain",307
"142",1996-11-19,8,3,-1,5,1,-2,93,88,81,1007,990,977,10,10,7,48,23,69,0,6,"Rain-Snow",198
"143",1996-11-20,7,6,4,5,3,2,87,82,76,1001,986,977,10,10,2,47,39,64,0,6,"Rain",257
"144",1996-11-21,7,3,1,2,2,0,93,85,66,1009,1007,1002,10,10,10,23,14,NA,0,5,"Rain",269
"145",1996-11-22,6,2,-1,2,0,-2,100,88,66,1017,1014,1008,10,8,4,24,11,NA,0,4,"",235
"146",1996-11-23,5,2,0,2,0,-1,93,89,75,1021,1013,1010,10,7,2,23,14,NA,0,5,"Rain-Snow",254
"147",1996-11-24,6,2,-1,2,0,-2,93,85,66,1025,1022,1013,10,9,7,27,16,NA,0,6,"Rain",228
"148",1996-11-25,11,7,4,8,5,3,100,89,76,1012,1001,997,10,8,2,35,26,53,0,6,"Rain",244
"149",1996-11-26,8,4,2,5,3,0,93,82,66,1014,1009,1001,10,10,10,27,19,NA,0,5,"Rain",310
"150",1996-11-27,4,2,1,2,1,-1,93,91,75,1014,1008,1003,10,6,4,24,10,NA,0,7,"Rain-Snow",78
"151",1996-11-28,5,2,0,2,0,-2,93,86,75,1021,1017,1009,10,6,4,27,16,NA,0,5,"Rain-Snow",316
"152",1996-11-29,12,6,0,10,4,-1,100,93,82,1021,1008,1001,10,6,3,40,21,63,0,6,"Rain",241
"153",1996-11-30,10,8,6,6,5,3,87,80,62,1015,1006,1002,10,10,10,42,21,58,0,4,"Rain",308
"154",1996-12-01,10,7,4,9,6,3,100,88,76,1021,1018,1015,10,9,3,34,14,NA,0,6,"Rain",251
"155",1996-12-02,10,8,6,7,4,3,87,80,66,1020,1018,1015,10,10,10,32,21,NA,0,5,"",277
"156",1996-12-03,10,8,6,8,6,4,100,88,76,1019,1007,998,10,9,5,45,24,63,0,6,"Rain",209
"157",1996-12-04,8,7,5,7,5,4,93,88,76,1010,1006,1000,10,10,8,24,16,NA,0,7,"Rain",205
"158",1996-12-05,8,7,5,5,4,3,93,86,76,1014,1013,1010,10,9,4,19,6,NA,0,6,"Rain",47
"159",1996-12-06,8,7,6,7,6,5,100,94,93,1018,1015,1014,6,4,3,21,13,NA,0,6,"Rain",46
"160",1996-12-07,9,6,2,5,3,1,100,91,76,1025,1022,1018,8,5,0,11,8,NA,0,1,"Fog",54
"161",1996-12-08,2,1,0,2,0,-1,100,95,87,1026,1024,1023,5,3,0,159,14,NA,0,7,"Fog",66
"162",1996-12-09,1,0,0,-1,-1,-2,93,92,87,1023,1020,1017,4,3,3,13,8,NA,0,8,"",73
"163",1996-12-10,0,0,0,-1,-1,-2,93,92,87,1017,1016,1015,4,3,2,14,8,NA,0,8,"",79
"164",1996-12-11,0,-1,-1,-1,-1,-2,100,94,87,1017,1015,1013,5,3,2,14,8,NA,0,8,"Snow",101
"165",1996-12-12,2,1,0,2,0,-1,100,96,93,1013,1010,1005,5,2,0,19,6,NA,0,8,"Fog-Rain",124
"166",1996-12-13,5,3,2,4,3,1,100,93,81,1005,1002,1000,10,4,0,26,8,NA,0,7,"Fog-Rain",12
"167",1996-12-14,4,1,-2,1,-3,-8,93,76,42,1015,1009,1004,10,10,8,24,19,NA,0,4,"",26
"168",1996-12-15,3,0,-2,0,-2,-4,93,82,75,1019,1017,1015,10,10,10,13,8,NA,0,6,"",222
"169",1996-12-16,6,3,0,2,0,-1,100,82,70,1019,1015,1011,10,8,3,23,8,NA,0,6,"",151
"170",1996-12-17,9,4,1,8,4,0,100,94,93,1012,1011,1010,9,5,2,16,11,NA,0,6,"Rain",197
"171",1996-12-18,11,8,6,8,7,5,93,85,71,1011,1006,1002,10,10,7,14,8,NA,0,6,"Fog-Rain",165
"172",1996-12-19,11,10,9,10,9,8,100,94,88,1001,1000,998,10,5,2,19,11,NA,0,7,"Rain",197
"173",1996-12-20,12,9,6,9,8,5,94,92,82,1004,1000,998,10,5,1,14,8,NA,0,5,"Fog-Rain",192
"174",1996-12-21,8,6,3,7,4,2,100,93,87,1008,1006,1004,6,4,0,27,16,NA,0,7,"Fog-Rain",67
"175",1996-12-22,5,4,3,3,3,2,100,91,87,1008,1006,1003,7,6,4,24,19,NA,0,7,"Rain",63
"176",1996-12-23,3,1,-1,3,0,-4,100,91,75,1002,1000,999,10,5,2,24,16,NA,0,7,"Rain",34
"177",1996-12-24,0,-1,-2,-3,-4,-5,93,82,75,1006,1002,1001,10,9,4,32,23,NA,0,7,"Rain-Snow",63
"178",1996-12-25,0,-2,-5,-4,-8,-11,80,66,44,1026,1015,1007,10,10,10,27,21,NA,0,6,"",40
"179",1996-12-26,-1,-3,-5,-7,-9,-11,80,67,51,1038,1035,1026,NA,NA,NA,24,18,NA,0,NA,"",63
"180",1996-12-27,-2,-6,-8,-8,-11,-12,80,63,47,1037,1028,1020,9,9,8,13,8,NA,0,6,"Snow",117
"181",1996-12-28,-4,-7,-9,-6,-11,-14,86,69,50,1021,1020,1019,10,9,9,26,14,NA,0,5,"Snow",52
"182",1996-12-29,-3,-7,-10,-11,-13,-15,73,60,46,1020,1018,1012,10,10,10,23,16,NA,0,6,"Snow",37
"183",1996-12-30,1,-1,-3,0,-4,-10,93,77,59,1012,1007,1005,10,9,2,32,14,NA,0,6,"Snow",6
"184",1996-12-31,-2,-6,-8,-3,-8,-10,93,84,74,1014,1011,1007,10,6,4,23,16,NA,0,6,"Snow",48
"185",1997-01-01,-7,-10,-12,-10,-13,-15,86,77,68,1020,1016,1014,7,5,3,24,18,NA,0,5,"",56
"186",1997-01-02,-5,-7,-8,-7,-9,-11,93,83,74,1020,1017,1012,4,4,1,23,11,NA,0,6,"Snow",52
"187",1997-01-03,-4,-7,-8,-6,-8,-10,93,84,80,1012,1007,1002,4,3,2,24,18,NA,0,6,"Rain-Snow",38
"188",1997-01-04,-3,-4,-4,-5,-6,-6,93,87,80,1006,1003,1001,4,3,2,24,18,NA,0,7,"Snow",24
"189",1997-01-05,-2,-3,-3,-3,-4,-6,93,90,80,1014,1010,1006,5,2,1,13,10,NA,0,7,"Fog-Snow",54
"190",1997-01-06,0,-2,-5,-4,-5,-7,93,85,75,1019,1017,1014,6,4,3,23,11,NA,0,4,"",53
"191",1997-01-07,-4,-4,-5,-6,-7,-8,93,83,74,1019,1018,1015,7,5,2,14,10,NA,0,7,"Snow",87
"192",1997-01-08,-1,-3,-4,-2,-4,-7,100,87,80,1015,1007,1003,7,4,1,19,13,NA,0,8,"Rain-Snow",74
"193",1997-01-09,2,0,-1,0,-1,-2,100,91,87,1010,1005,1002,4,3,2,11,8,NA,0,7,"",67
"194",1997-01-10,1,-1,-3,-1,-3,-5,93,88,86,1023,1017,1010,3,2,1,13,8,NA,0,7,"",35
"195",1997-01-11,2,0,-2,0,-1,-3,100,93,87,1028,1026,1023,5,2,0,14,8,NA,0,7,"Fog",171
"196",1997-01-12,5,1,-2,1,-2,-3,100,90,70,1029,1028,1027,8,3,0,11,8,NA,0,3,"Fog",143
"197",1997-01-13,6,1,-4,-4,-5,-6,93,74,42,1028,1026,1024,9,6,4,14,6,NA,0,1,"",93
"198",1997-01-14,6,0,-5,-2,-5,-7,86,76,53,1024,1023,1022,8,5,4,11,6,NA,0,0,"",120
"199",1997-01-15,8,1,-5,-1,-3,-6,93,80,53,1025,1023,1023,7,5,3,10,6,NA,0,0,"Fog",149
"200",1997-01-16,10,3,-4,0,-2,-5,93,79,50,1023,1020,1016,9,6,4,13,6,NA,0,0,"Fog",144
"201",1997-01-17,11,4,-1,6,1,-3,100,82,54,1018,1015,1014,10,8,2,19,10,NA,0,5,"Rain",178
"202",1997-01-18,6,4,3,5,4,3,100,96,93,1020,1017,1011,5,2,0,21,11,NA,0,7,"Fog-Rain",166
"203",1997-01-19,7,6,4,6,4,3,100,94,93,1014,1010,1008,10,6,0,19,10,NA,0,5,"Fog-Rain",170
"204",1997-01-20,5,3,2,5,3,1,100,95,87,1025,1020,1015,5,2,0,24,8,NA,0,7,"Fog",44
"205",1997-01-21,6,4,3,3,2,1,93,87,81,1025,1022,1016,10,9,4,24,19,NA,0,6,"",74
"206",1997-01-22,12,8,5,9,6,3,93,87,77,1019,1017,1015,10,10,9,19,13,NA,0,5,"Rain",169
"207",1997-01-23,9,6,2,8,4,1,100,94,82,1023,1021,1019,8,3,0,14,8,NA,0,5,"Fog",76
"208",1997-01-24,11,8,6,10,7,5,100,95,87,1029,1026,1023,5,2,0,11,3,NA,0,6,"Fog-Rain",68
"209",1997-01-25,8,6,4,7,5,3,100,95,87,1031,1030,1029,8,2,0,14,10,NA,0,6,"Fog",57
"210",1997-01-26,4,2,0,3,1,-1,100,90,87,1030,1029,1028,10,6,1,14,11,NA,0,6,"Fog",53
"211",1997-01-27,3,1,0,1,-1,-2,93,85,75,1035,1032,1029,10,7,4,19,11,NA,0,7,"",19
"212",1997-01-28,4,1,-1,-1,-2,-3,93,80,65,1039,1037,1035,10,9,5,24,16,NA,0,2,"",42
"213",1997-01-29,2,0,-2,-1,-2,-3,93,88,75,1040,1038,1036,10,7,4,21,14,NA,0,4,"",68
"214",1997-01-30,1,-1,-3,-1,-2,-4,100,87,81,1037,1036,1035,8,7,4,16,11,NA,0,4,"",71
"215",1997-01-31,1,-1,-2,-2,-2,-3,93,89,80,1035,1033,1032,6,4,2,19,11,NA,0,7,"",74
"216",1997-02-01,2,-1,-3,-1,-2,-4,100,91,81,1032,1030,1028,7,4,2,14,8,NA,0,5,"",113
"217",1997-02-02,1,-1,-2,0,-1,-3,100,94,86,1029,1027,1026,4,2,1,10,6,NA,0,7,"Fog",201
"218",1997-02-03,4,2,1,3,2,0,100,94,93,1030,1029,1028,5,1,0,13,5,NA,0,6,"Fog-Rain",189
"219",1997-02-04,8,4,2,4,3,1,100,87,76,1028,1023,1018,10,7,5,39,19,NA,0,6,"Rain",219
"220",1997-02-05,10,6,1,7,4,0,100,85,66,1031,1020,1013,10,8,3,40,31,58,0,5,"Rain",276
"221",1997-02-06,10,6,1,4,1,0,100,82,54,1033,1031,1029,9,4,2,21,10,NA,0,4,"Fog",191
